;Exacerbation;No Exacerbation
n;24;127
Gender, Male;11 (45.83%);55 (43.31%)
Hypertension;12 (50.0%);74 (58.27%)
Chest pain;7 (29.17%);19 (14.96%)
Coronary artery disease;7 (29.17%);24 (18.9%)
Congestive heart failure;5 (20.83%);18 (14.17%)
Myocardial infarction;7 (29.17%);21 (16.54%)
Liver disease;2 (8.33%);10 (7.87%)
Kidney disease;1 (4.17%);2 (1.57%)
Arthritis / rheumatism;12 (50.0%);62 (48.82%)
Osteoarthritis;4 (16.67%);30 (23.62%)
Migraines;5 (20.83%);13 (10.24%)
Asthma;10 (41.67%);40 (31.5%)
Diabetes;7 (29.17%);38 (29.92%)
Depression;8 (33.33%);48 (37.8%)
Anxiety;9 (37.5%);42 (33.07%)
Sleep disorder;8 (33.33%);42 (33.07%)
Cancer;5 (20.83%);26 (20.47%)
Worse dyspnea;12 (50.0%);54 (42.52%)
Worse cough;11 (45.83%);41 (32.28%)
Increase in sputum;13 (54.17%);40 (31.5%)
Fever;2 (8.33%);17 (13.39%)
Breathing faster;11 (45.83%);39 (30.71%)
Wheezing;10 (41.67%);55 (43.31%)
Other symptoms;6 (25.0%);19 (14.96%)
Enrolled as Exacerbator;13 (54.17%);47 (37.01%)
Exacerbation;24 (100.0%);0 (0.0%)
No treatment last 3 days;0 (0.0%);0 (0.0%)
Non COPD conditions;20 (83.33%);101 (79.53%)
Stroke / TIA;1 (4.17%);12 (9.45%)
Advair;8 (33.33%);53 (41.73%)
Levaquin;1 (4.17%);3 (2.36%)
Mometasone;2 (8.33%);14 (11.02%)
Singulair;2 (8.33%);3 (2.36%)
Oxygen;0 (0.0%);7 (5.51%)
Xopenex;1 (4.17%);1 (0.79%)
Albuterol;16 (66.67%);99 (77.95%)
Ipratropium;5 (20.83%);37 (29.13%)
Combivent;4 (16.67%);32 (25.2%)
Tiotropium;7 (29.17%);48 (37.8%)
Serevent;0 (0.0%);3 (2.36%)
Formoterol;4 (16.67%);20 (15.75%)
Flucticasone;2 (8.33%);8 (6.3%)
Budesonide;2 (8.33%);2 (1.57%)
Beclomethasone;0 (0.0%);2 (1.57%)
Age;64.04(9.25);63.07±9.99
Race;0.42(0.78);0.31±0.57
Relationship status;3.33(1.66);3.5±1.76
Education level;6.83(0.89);6.6±1.05
Occup. status;4.95(2.7);5.17±3.14
Length COPD;3.17(1.05);3.11±1.06
Exa. last 12 months;2.33(0.92);1.9±0.97
Exa. last 2 months;1.79(0.71);1.73±0.67
Hosp. last 12 months;1.71(0.81);1.56±0.76
ER visits last 12 months;1.79(0.93);1.49±0.79
Height (Cm);169.67(8.03);170.23±9.61
Weight (Kg);85.14(21.53);90.92±25.92
GOLD;2.65(0.81);2.31±0.94
6MWT;327.22(166.46);318.42±112.01
FEV1;94.44(62.94);125.49±73.04
FVC;254.89(106.8);201.21±115.88
FEV1/FVC x 100;43.89(11.76);57.18±17.68
Pred. FEV1 a;227.81(111.75);242.72±108.49
Pred. FEV1 b;239.67(123.83);240.93±101.66
pred. FVC a;347.2(131.77);342.21±136.69
pred. FVC b;405.33(68.8);324.25±140.24
% pred. FVC a;66.85(11.14);70.4±16.65
pred. PEF a;728.21(149.57);603.67±292.85
pred. PEF b;701.0(264.49);661.66±244.38
pred. FEV1/FVC x 100 a;75.05(3.73);75.55±8.45
pred. FEV1/FVC x 100 b;76.33(1.8);73.95±8.3
Pack years;48.12(22.75);47.39±32.28
FVC b;244.15(86.66);229.48±121.92
COPD type;1.7(0.63);1.78±0.75
COPD state;2.04(1.0);1.68±0.92
MMRC;3.04(1.12);2.72±1.1
